Name	Lat_Long	Unique_Objects	TotalSize_GB
Bloodpac	"41.883200, -87.632400"	36667	41490
Canine Data Commons	"41.883200, -87.632400"	3820	1880
Cancer Genomics Cloud DRS API	"37.538000, -77.462000"	17855440	7311560
Cavatica DRS API	"37.538000, -77.462000"	11475637	5419837
BioData Catalyst powered by Seven Bridges DRS API	"37.538000, -77.462000"	28739258	6729776
Canine Data Commons	"41.883200, -87.632400"	3820	1880
Chicagoland Covid-19 Commons	"41.883200, -87.632400"	"285,849"	117640
ICGC PCAWG & DREAM Challenge	"41.883200, -87.632400"	"100,247"	264420
Justice Community Opioid Innovation Network (JCOIN)	"41.883200, -87.632400"	481	2.37
Medical Imaging and Data Resoure Center	"41.883200, -87.632400"	"621,360"	12050
NCI CRDC	"41.883200, -87.632400"	58960177	16772079.45
Gen3 Data Hub	"41.883200, -87.632400"	2376	14249.29
Veterans Precision Oncology Data Commons	"41.883200, -87.632400"	352786	2184.86
NCBI Data Repository Service	"39.0006, -77.1031"	5600000	26000000
NHGRI AnVIL	"42.363800, -71.086600"	2700000	5939000
Synapse	"47.6181521107755, -122.3516190733437"	3670000	3670000
